timestamp,elapsed_s,cam0_fps,cam1_fps,cam2_fps,cam3_fps,cam4_fps,cam0_gf,cam1_gf,cam2_gf,cam3_gf,cam4_gf,new_alerts
2026-07-26 21:46:59,7017,29.71,29.71,29.71,29.71,29.70,0,0,0,0,0,0
2026-07-26 21:47:59,7077,29.71,29.73,29.71,29.71,29.71,0,0,0,0,0,0
2026-07-26 21:48:59,7137,29.73,29.71,29.71,29.71,29.70,0,0,0,0,0,0
2026-07-26 21:49:59,7197,29.71,29.71,29.71,29.71,29.71,0,0,0,0,0,0
2026-07-26 21:50:59,7257,29.71,29.70,29.71,29.71,29.70,0,0,0,0,0,0
2026-07-26 21:51:59,7317,29.71,29.71,29.71,29.71,29.71,0,0,0,0,0,0
2026-07-26 21:52:59,7377,29.71,29.71,29.73,29.71,29.73,0,0,0,0,0,0
2026-07-26 21:53:59,7437,29.71,29.71,29.71,29.71,29.70,0,0,0,0,0,0
2026-07-26 21:54:59,7497,29.71,29.73,29.70,29.71,29.71,0,0,0,0,0,0
2026-07-26 21:55:59,7557,29.73,29.71,29.73,29.70,29.74,0,0,0,0,0,0
2026-07-26 21:56:59,7617,29.71,29.71,29.70,29.73,29.70,0,0,0,0,0,0
2026-07-26 21:57:59,7677,29.71,29.71,29.71,29.71,29.70,0,0,0,0,0,0
2026-07-26 21:58:59,7737,29.73,29.71,29.71,29.71,29.70,0,0,0,0,0,0
2026-07-26 21:59:59,7797,29.73,29.71,29.71,29.71,29.73,0,0,0,0,0,0
2026-07-26 22:00:59,7857,29.71,29.71,29.71,29.71,29.70,0,0,0,0,0,0
2026-07-26 22:01:59,7917,29.71,29.71,29.71,29.71,29.71,0,0,0,0,0,0
2026-07-26 22:02:59,7977,29.71,29.73,29.71,29.71,29.71,0,0,0,0,0,0
2026-07-26 22:03:59,8037,29.71,29.70,29.73,29.73,29.71,0,0,0,0,0,0
2026-07-26 22:04:59,8097,29.71,29.71,29.71,29.71,29.70,0,0,0,0,0,0
2026-07-26 22:05:59,8157,29.71,29.73,29.71,29.71,29.71,0,0,0,0,0,0
2026-07-26 22:06:59,8217,29.73,29.70,29.71,29.71,29.73,0,0,0,0,0,0
2026-07-26 22:07:59,8277,29.71,29.71,29.71,29.71,29.71,0,0,0,0,0,0
2026-07-26 22:08:59,8337,29.71,29.71,29.71,29.71,29.71,0,0,0,0,0,0
2026-07-26 22:09:59,8397,29.73,29.71,29.71,29.71,29.70,0,0,0,0,0,0
2026-07-26 22:10:59,8457,29.71,29.71,29.73,29.73,29.71,0,0,0,0,0,0
2026-07-26 22:11:59,8517,29.71,29.71,29.70,29.71,29.71,0,0,0,0,0,0
2026-07-26 22:12:59,8577,29.71,29.73,29.70,29.70,29.70,0,0,0,0,0,0
2026-07-26 22:13:59,8637,29.74,29.71,29.71,29.71,29.71,0,0,0,0,0,0
2026-07-26 22:14:59,8697,29.71,29.71,29.71,29.73,29.70,0,0,0,0,0,0
2026-07-26 22:15:59,8757,29.71,29.71,29.71,29.70,29.70,0,0,0,0,0,0
2026-07-26 22:16:59,8817,29.73,29.71,29.71,29.71,29.70,0,0,0,0,0,0
