t_mono,phase,n1_vel,n2_vel,n1_pos,n2_pos
104061.900385626,stop2,0,0,-54125560,-71085903
104061.920518398,stop2,0,0,-54125560,-71085903
104061.940652547,stop2,0,0,-54125560,-71085903
104061.960791816,stop2,0,0,-54125560,-71085903
104061.980925005,stop2,0,0,-54125560,-71085903
104062.00106293,stop2,0,0,-54125560,-71085903
104062.021196247,stop2,0,0,-54125560,-71085903
104062.041334108,stop2,0,0,-54125560,-71085903
104062.061465953,stop2,0,0,-54125560,-71085903
104062.082991598,stop2,0,0,-54125560,-71085903
104062.103570464,stop2,0,0,-54125560,-71085903
104062.123707109,stop2,0,0,-54125560,-71085903
104062.143842154,stop2,0,0,-54125560,-71085903
104062.163979247,stop2,0,0,-54125560,-71085903
104062.184129524,stop2,0,0,-54125560,-71085903
104062.204270457,stop2,0,0,-54125560,-71085903
104062.224405886,stop2,0,0,-54125560,-71085903
104062.244547171,stop2,0,0,-54125560,-71085903
104062.264713769,stop2,0,0,-54125560,-71085903
104062.284850798,stop2,0,0,-54125560,-71085903
104062.304982163,stop2,0,0,-54125560,-71085903
104062.325739498,stop2,0,0,-54125560,-71085903
104062.345882031,stop2,0,0,-54125560,-71085903
104062.366020084,stop2,0,0,-54125560,-71085903
104062.386160505,stop2,0,0,-54125560,-71085903
104062.406294366,stop2,0,0,-54125560,-71085903
104062.426422531,stop2,0,0,-54125560,-71085903
104062.446551752,stop2,0,0,-54125560,-71085903
104062.466674124,stop2,0,0,-54125560,-71085903
104062.486816337,stop2,0,0,-54125560,-71085903
104062.508147353,stop2,0,0,-54125560,-71085903
104062.528305246,stop2,0,0,-54125560,-71085903
104062.54873662,stop2,0,0,-54125560,-71085903
104062.568859056,stop2,0,0,-54125560,-71085903
104062.589004374,stop2,0,0,-54125560,-71085903
104062.609151067,stop2,0,0,-54125560,-71085903
104062.62928976,stop2,0,0,-54125560,-71085903
104062.649417733,stop2,0,0,-54125560,-71085903
104062.669544681,stop2,0,0,-54125560,-71085903
104062.689688686,stop2,0,0,-54125560,-71085903
104062.70982642,stop2,0,0,-54125560,-71085903
104062.729962008,stop2,0,0,-54125560,-71085903
104062.750103486,stop2,0,0,-54125560,-71085903
104062.770247107,stop2,0,0,-54125560,-71085903
